BLZ;Institutsname;BIC;Host;URL;Ver.;PIN-1;PIN-2;DDV-1;DDV-2;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;Ku-ID;Benutzer;iTAN;UseBLZ;Hinweis;InstitutsnameLang;ValidFrom;RAH-7;RAH-9;RAH-10;IconName
20730088;UniCredit Bk Settlemt EAC88;HYVEDEMME88;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC88;;;;;Hypo
20730089;UniCredit Bk Settlemt EAC89;HYVEDEMME89;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC89;;;;;Hypo
20730090;UniCredit Bk Settlemt EAC90;HYVEDEMME90;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC90;;;;;Hypo
20730091;UniCredit Bk Settlemt EAC91;HYVEDEMME91;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC91;;;;;Hypo
20730092;UniCredit Bk Settlemt EAC92;HYVEDEMME92;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC92;;;;;Hypo
20730093;UniCredit Bk Settlemt EAC93;HYVEDEMME93;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC93;;;;;Hypo
20730094;UniCredit Bk Settlemt EAC94;HYVEDEMME94;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC94;;;;;Hypo
20730095;UniCredit Bk Settlemt EAC95;HYVEDEMME95;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC95;;;;;Hypo
20730096;UniCredit Bk Settlemt EAC96;HYVEDEMME96;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC96;;;;;Hypo
20730097;UniCredit Bk Settlemt EAC97;HYVEDEMME97;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC97;;;;;Hypo
20730098;UniCredit Bk Settlemt EAC98;HYVEDEMME98;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC98;;;;;Hypo
20730099;UniCredit Bk Settlemt EAC99;HYVEDEMME99;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC99;;;;;Hypo
20750000;Spk Harburg-Buxtehude;NOLADE21HAM;banking-ni3.s-fints-pt-ni.de;https://banking-ni3.s-fints-pt-ni.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Sparkasse Harburg-Buxtehude;;ja;;;Spk
21000000;BBk Hamburg eh Kiel;MARKDEF1210;hbciserver.bankverlag.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;ja;;ja;;ja;;;;;;Kunden-ID;Benutzerkennung;CR#3:CR#5 - 1.4:CR#6 - 1.4;;;Bundesbank eh Kiel;;;;;
21010111;SEB Kiel;ESSEDE5F210;;;;;;;;;;;;;;;;;;;;;;;SEB;;;;;
21020600;Sydbank Fil. Kiel;SYBKDE22KIE;sydbank.hbciservice.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;ja;ja;ja;;ja;;;;ja;;Kunden-ID;Benutzerkennung;CR#1:CR#3:CR#5 - 1.4:CR#6 - 1.4;;;Sydbank Filiale Kiel;;;;;
